,Degree,Excentricidad,Diametro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Average Collaborations,Clustering
103,4.670588235294118,4.5588235294117645,5,4,3.2193525931082494,0.06871556973035663,0.3464253393665253,0.02763661677688827,0.6823529411764706,0.12301896510044479,1.8075601556685688,0.8749738948833972,0,0.08006125622358141
104,4.580310880829016,4.616580310880829,5,3,3.2986830742659756,0.08166833166833166,0.33606613413939274,0.023855785837651123,0.5958549222797928,0.17386535746675258,1.8585024386724789,0.8577828151986183,0,0.0861722907503544
105,4.693693693693693,4.815315315315315,6,4,3.358444417267947,0.09268198493917745,0.32974195915384147,0.021238433003138886,0.6126126126126126,0.09360418876682992,1.8505948938226977,0.8965798377563083,0,0.11761727839684946
106,5.082802547770701,4.573248407643312,6,3,3.1260819859545976,0.09743010449025699,0.3578488213838209,0.032582067613914745,0.6815286624203821,0.1228315454742012,1.798618330004925,0.8611791605422179,0,0.13171121120616214
107,4.646341463414634,4.725609756097561,6,4,3.2225048630854407,0.08633747349288094,0.3472405107486555,0.028505162352237018,0.7073170731707317,0.10323310402247188,1.811853531948558,0.8699685769863834,0,0.1327815414215809
108,4.383177570093458,4.803738317757009,6,4,3.455530691939801,0.07965242577842144,0.3213629649131747,0.020578298451142996,0.5700934579439252,0.12152731095299707,1.8685003527197506,0.879250581369839,0,0.07935074527788834
109,5.186274509803922,4.563725490196078,5,4,3.2361634308895972,0.07220447284345048,0.3428362149458527,0.0255481502946006,0.7107843137254902,0.09425784690655377,1.7972556410801181,0.8621655558775234,0,0.06712563920901701
110,5.090047393364929,4.672985781990521,6,4,3.2217106747912436,0.07260852862082212,0.34342210185823757,0.024238320920785376,0.6682464454976303,0.09837927710096268,1.7904386211586654,0.8910403972015346,0,0.09291847016176341
111,4.880434782608695,4.478260869565218,5,3,3.201591827037301,0.08493282149712092,0.3463589926348797,0.02666904252791637,0.6902173913043478,0.09978328449666542,1.7896148216156038,0.875623663578047,0,0.07928829436654694
112,4.828729281767956,4.558011049723757,5,3,3.1993247391037447,0.0851063829787234,0.34711479435240616,0.026826273787599754,0.6629834254143646,0.10427590140837938,1.7856082522712906,0.8869858809085328,0,0.10696742763886725
