,Degree,Excentricidad,Diametro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Average Collaborations,Clustering
76,4.529801324503311,4.423841059602649,5,3,3.166269315673289,0.08556338028169014,0.3514760853568278,0.030198675496688743,0.7019867549668874,0.10005353929158627,1.7860854305065503,0.8830905077262693,13.55,0.10631489926498394
77,4.634730538922156,4.616766467065868,6,3,3.235625135271625,0.0780564263322884,0.3443859269412943,0.027920063487482865,0.718562874251497,0.12700974169412763,1.8426270097353186,0.8832696053675781,12.818181818181818,0.08081801984278765
78,4.639344262295082,4.245901639344262,5,3,3.007180598834846,0.11738604275917709,0.3718059883484448,0.038341688118141176,0.6475409836065574,0.17256483419041896,1.8288100498968063,0.8800975477577564,13.588235294117647,0.17524981843671344
79,4.2898550724637685,4.449275362318841,5,3,3.147360626256215,0.07530364372469636,0.3546546070030285,0.031312810747910716,0.5869565217391305,0.14318513614415868,1.8290260341704345,0.8847984766740717,12.947368421052632,0.09188360457423636
80,4.541062801932367,4.555555555555555,5,3,3.2877913793912104,0.0732865867450803,0.3353438706753263,0.022043994184137706,0.5990338164251208,0.11184069872400319,1.8328851003348514,0.879508465831809,14.076923076923077,0.1218678066642289
81,4.732824427480916,4.396946564885496,5,3,3.0638872577803875,0.1070615034168565,0.36544724995103434,0.0364063417498532,0.6870229007633588,0.15493944646924965,1.816991714080274,0.8549618320610687,13.166666666666666,0.1251141457823604
82,4.818897637795276,4.196850393700787,5,3,2.9545056867891515,0.09046909903201787,0.37679248427276874,0.03824521934758155,0.7165354330708661,0.1702226354140817,1.7879997974323458,0.8680164979377578,14.75,0.13755221615847998
83,5.082125603864735,4.531400966183575,5,3,3.2385441583415413,0.075,0.3420524365649929,0.02467051264012007,0.6570048309178744,0.10401826629193348,1.8325139967495472,0.8869190000469022,13.586206896551724,0.08282752047321343
84,4.890322580645162,4.535483870967742,5,3,3.1383326351068286,0.08184298272203698,0.35659544756314837,0.031755341432760785,0.7225806451612903,0.12048324260569422,1.8325736525367842,0.8861332216170926,13.227272727272727,0.11319224329714707
85,4.777777777777778,4.666666666666667,6,3,3.2216014897579144,0.0933298180859478,0.3449451686323611,0.02669149596523898,0.7055555555555556,0.12117033562840834,1.808085705404479,0.8883302296710118,14.0,0.1491388886527962
86,4.830188679245283,4.522012578616352,5,3,3.128492954382613,0.07565295706994897,0.3557559111535395,0.030570814425603058,0.7232704402515723,0.13739399840028943,1.8472047139137693,0.8884642942440888,13.227272727272727,0.08107056431999222
87,4.87248322147651,4.530201342281879,5,3,3.1487393433702158,0.11683532658693652,0.3557878348146243,0.032922183928895336,0.6644295302013423,0.13909325791828883,1.8156615323566685,0.8654997279158353,12.136363636363637,0.16292673710114366
