Ciudad,País,avg strength,weight,Degree,Weighted Degree,Eccentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Small Worldness,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad con pesos (1.0)
CABA,Argentina,3.2446327499999996,1.4815789473684209,4.385964912280702,14.017543859649123,4.798245614035087,0.14879081140350878,6,3,3.355668907952701,0.10739164086687307,0.32577285725335,0.9608066521709907,0.8666666666666667,0.4956140350877193,0.251,1.868,0.524
CDMX,México,3.477387690344482,1.3886287625418052,3.6588628762541804,12.963210702341136,5.622073578595318,0.0759400702341137,7,4,3.82031828690714,0.05,0.28932026537809863,0.6771493264436462,0.3611111111111111,0.4214046822742475,0.202,1.91,0.628
Santiago de Chile,Chile,3.4172109794871792,1.4625641025641019,3.948717948717949,13.764102564102565,5.041025641025641,0.1340367487179487,6,3,3.227544277028813,0.10074358359318782,0.3388888888889442,0.906813593858747,1.0,0.4307692307692308,0.525,1.89,0.53
Montevideo,Uruguay,3.227742045454545,2.749494949494955,7.747474747474747,25.939393939393938,4.47979797979798,0.20774660606060608,6,3,3.0811157257857764,0.22452327250358828,0.3608367943394337,1.2745185062977642,1.0,0.5656565656565656,0.179,1.778,0.611
Madrid,España,3.5183867489539753,1.36234309623431,3.790794979079498,12.861924686192468,6.079497907949791,0.12050969874476991,8,5,3.7835167539819277,0.08191653786707882,0.29465342622415475,1.1410329702664386,1.0,0.4393305439330544,0.184,1.92,0.61
Sao Paulo,Brasil,3.430668759259259,1.253703703703704,3.3703703703703702,11.694444444444445,6.726851851851852,0.12992756018518517,8,4,4.324031007751938,0.07857142857142857,0.266719012755837,1.211793728337516,0.2222222222222222,0.4212962962962963,0.237,1.983,0.682
