Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colaboratividad Original,Colaboratividad 1,Colaboratividad 2,Colaboratividad 3
G0,3.5127610208816704,5.408352668213457,0.03758237431734768,7.0,4.0,3.705649382183133,0.051963812886142983,0.29123753510456174,0.3333333333333333,0.4013921113689095,0.12371497574294155,1.8712000950175893,0.9160416554254573,0.15787395996723655,0.6844844645935213,-0.3879411225355677,0.11537067556922061
G1,3.775,5.5075,0.04391831450453077,7.0,4.0,3.586453634085213,0.0507207109569741,0.3013224728486943,0.6666666666666666,0.44,0.11134784421151321,1.8727700727618621,0.9221303258145364,0.1640718852970637,0.6709780208984002,-0.3885165564437295,0.12004262199634992
G2,3.4058956916099774,5.3718820861678,0.034229491557222456,6.0,4.0,3.702576788291074,0.04638472032742155,0.29061516525787656,1.0,0.3832199546485261,0.11755465853401895,1.8669495569659422,0.9286435786435786,0.13124056293522934,0.6810681189392457,-0.40548919749053036,0.11245183142218107
G3,3.8214285714285716,5.801020408163265,0.051947319299749134,8.0,4.0,3.6315439219165926,0.055152065365410806,0.29884469315668616,0.6666666666666666,0.4642857142857143,0.08893823527376071,1.8737059480765224,0.9133175009134088,0.18835845580178218,0.6651951509225353,-0.3869372771318572,0.12307247251889666
G4,3.471264367816092,5.172413793103448,0.04094949380358986,6.0,4.0,3.6810424280947083,0.04400088222320247,0.2929388915372416,1.0,0.3931034482758621,0.12309283780768646,1.866666483875868,0.9381217225488638,0.12351988966930022,0.6713271883480811,-0.40784861545508644,0.11443538519016663
G5,3.434389140271493,5.167420814479638,0.03768305734992253,6.0,4.0,3.6511322477709034,0.04792228818132758,0.2941085836043153,0.5333333333333333,0.3778280542986425,0.12571123377319515,1.8483490211985953,0.9295615682170304,0.13325224698764604,0.6883360605278064,-0.39401055632630877,0.11466131840888044
G6,3.514018691588785,5.553738317757009,0.04363576441267924,7.0,4.0,3.6941824071439515,0.04251012145748988,0.29220277049059024,0.2857142857142857,0.397196261682243,0.12069198448288596,1.8847477084029265,0.9251132657751319,0.14762272520739442,0.6735581282193928,-0.4103414760567531,0.11653735715943386
G7,3.675675675675676,5.909090909090909,0.046920666562673595,8.0,4.0,3.6529574805436873,0.04915762750980845,0.29604653434690065,0.37777777777777777,0.4520884520884521,0.09045872889137656,1.8786684477290245,0.9205044722286102,0.1645333279323749,0.6589076996981781,-0.4060695411411319,0.11949305367236956
G8,3.6926829268292685,5.882926829268293,0.0506044949375255,7.0,4.0,3.6178543741427633,0.049445115921327325,0.29879150586812664,0.5238095238095238,0.4317073170731707,0.12182328122897994,1.8742244415024731,0.9172759258154929,0.17400936120274244,0.6737450003451221,-0.39905588777396594,0.12206209232209736
G9,3.563549160671463,5.299760191846523,0.045525036830850456,6.0,4.0,3.6160302527209,0.05752604743959211,0.2974770183852196,1.0,0.4244604316546763,0.1549654600665223,1.8636296483262806,0.9371656520937096,0.13264276864959174,0.6741900239506189,-0.39347480346346797,0.11757071516317097
G10,3.659367396593674,5.199513381995134,0.04895646097655059,7.0,4.0,3.6205329060589877,0.05216817081223861,0.29823825631364254,1.0,0.44038929440389296,0.10190386290772313,1.8636816558474851,0.9385318378731232,0.13647414505334185,0.6609458609873731,-0.3957997205273076,0.1188294834638218
G11,3.4645308924485128,5.3752860411899315,0.03921598150030682,7.0,4.0,3.661442697289694,0.036497150372643575,0.29409235593958155,0.6666666666666666,0.40045766590389015,0.11403242489739455,1.8734326297730124,0.9270568723364054,0.1398588000321479,0.6668322371920773,-0.4104307547002126,0.11545976262384146
G12,3.488479262672811,5.675115207373272,0.038978972112017445,7.0,4.0,3.7256840604080415,0.040609714480718914,0.28976036663621785,0.6666666666666666,0.38018433179723504,0.10957076563702849,1.8647779294767475,0.9231170379199881,0.1464822647383642,0.6787193962583252,-0.4165390802297667,0.11441778469079827
G13,3.4645308924485128,6.3180778032036615,0.0518688866858737,9.0,5.0,3.735666449730229,0.04636939842099411,0.28971099384528726,0.6666666666666666,0.40045766590389015,0.14852275566338605,1.897910563207919,0.9325572607226082,0.1400231299121164,0.6695729289530322,-0.43820088149508096,0.11758699622981957
