Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colaboratividad Original,Colaboratividad 1,Colaboratividad 2,Colaboratividad 3
G0,3.3962264150943398,5.984276729559748,0.051992735649603904,8.0,4.0,3.5541138424300143,0.04498325091721168,0.30584944868168934,0.3333333333333333,0.42138364779874216,0.14868445196327135,1.8837060759383835,0.9159177033113108,0.15749389017250864,0.6821820240438745,-0.3979804319835607,0.12506170012564316
G1,3.4516129032258065,5.712903225806452,0.05045709320505826,7.0,4.0,3.559432091032467,0.049315068493150684,0.3065407960866659,1.0,0.43870967741935485,0.2134279676775775,1.9039248832365678,0.9116818039461322,0.16514956797962654,0.6806601238970731,-0.38078359041092313,0.1253735736576026
G2,3.490322580645161,5.741935483870968,0.07433746162241861,8.0,4.0,3.4951873890802796,0.05256851879586641,0.31182907550739086,1.0,0.4129032258064516,0.16328021180705654,1.8733107138546035,0.9255663430420712,0.16217254333650274,0.6951628098789957,-0.38701144536802745,0.13325822378304478
G3,3.4095238095238094,5.847619047619047,0.0660455447096074,7.0,4.0,3.5666363360630875,0.04966248794599807,0.30583450082082275,1.0,0.4031746031746032,0.17823369313746604,1.9061280209742997,0.9355777979981802,0.13819430952024783,0.6861207881804292,-0.40907103724438865,0.12736179886543392
G4,3.35202492211838,5.105919003115265,0.06683954599068864,6.0,4.0,3.4976830218068535,0.05705794947994056,0.30980659397708404,1.0,0.37383177570093457,0.17958785750015624,1.8489215076559975,0.9168224299065421,0.16409477728360966,0.7215374406532863,-0.3541067577124827,0.13120665293098166
G5,3.6666666666666665,6.125850340136054,0.08525750009350891,8.0,4.0,3.459172064730329,0.05663852647735994,0.31572685632027636,1.0,0.48639455782312924,0.18321700717866543,1.8955447154605276,0.9189245664135961,0.189904818420425,0.6697058206792736,-0.38331654063983545,0.13903854923656997
G6,3.3374613003095974,5.712074303405573,0.05146504973574816,7.0,4.0,3.6094648385670056,0.047447541497024744,0.30202112881765053,0.6666666666666666,0.3653250773993808,0.1717425846037135,1.8752489850329328,0.9175816779801166,0.1525698967578672,0.7080152926249266,-0.3930452569879346,0.12338442055507966
G7,3.6066666666666665,5.453333333333333,0.07040387844693746,7.0,4.0,3.50479375696767,0.053836633663366336,0.31136868928172046,1.0,0.47,0.13322096375810005,1.875866266122642,0.9156967670011148,0.18120976463197952,0.6723569394445292,-0.36711736092644365,0.13306873687807114
G8,3.3271604938271606,5.916666666666667,0.04847253756890811,8.0,4.0,3.626648320146772,0.048484848484848485,0.30159283011449517,0.8333333333333334,0.3734567901234568,0.170049246310107,1.9336937707275825,0.9281236861216221,0.13451390357639234,0.6992874404768041,-0.4090319230152363,0.12091946515786507
G9,3.664383561643836,6.157534246575342,0.083256725939726,9.0,5.0,3.486395518523749,0.06534653465346535,0.3139266137341921,1.0,0.4246575342465753,0.1946590363420189,1.9126223998309893,0.9233159158310973,0.18087090743768575,0.7052864233488212,-0.38164009781051433,0.13720757552200893
G10,3.5526315789473686,5.453947368421052,0.07656239171523004,7.0,4.0,3.452579468473163,0.06292770008925914,0.3145514363465891,1.0,0.4342105263157895,0.16335498079657346,1.872017803288209,0.9216388744137571,0.17351487471594534,0.699554436071075,-0.3608063001009487,0.13539615250573545
