Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colaboratividad Original,Colaboratividad 1,Colaboratividad 2,Colaboratividad 3
G0,3.7586206896551726,4.887931034482759,0.058855231661830695,6.0,4.0,3.434579788028064,0.07282535401213756,0.3195315221178417,1.0,0.46120689655172414,0.14568226184824995,1.8200877639441695,0.9138304224511121,0.18548980447600552,0.704838216628561,-0.3168880084022616,0.13219869272405876
G1,3.4939759036144578,5.36144578313253,0.056969157167438056,6.0,4.0,3.597681046767716,0.0539593552908199,0.30631882368191404,0.5,0.4497991967871486,0.12923368469247923,1.9000699048675203,0.9212980956082394,0.16013932239721992,0.6747295327750401,-0.3745030627029212,0.12616444639568503
G2,3.4274509803921567,5.172549019607843,0.0739759996163912,6.0,4.0,3.567515825227729,0.05410821643286573,0.3079084967321224,1.0,0.42745098039215684,0.2606852819833708,1.8913038045955455,0.918202871699861,0.17317370949322794,0.6891897871189792,-0.3628578795356311,0.13276755428481546
G3,3.237037037037037,5.222222222222222,0.05421603819294551,6.0,4.0,3.67462481068429,0.05329593267882188,0.2982605902061451,1.0,0.40370370370370373,0.23516795359612314,1.9067717564301108,0.925485336637753,0.13978055028695147,0.6869620027142385,-0.3824394520506583,0.12203808761141523
G4,3.6,5.044897959183674,0.07153862710635345,6.0,4.0,3.486383405821345,0.05526847899348461,0.31419817107179976,1.0,0.46530612244897956,0.17316484586071798,1.8573723578371888,0.9160923385747741,0.18385188050070428,0.6787674195534075,-0.34840562378457074,0.13433605509700108
G5,3.235294117647059,5.790441176470588,0.06592505209039405,7.0,4.0,3.7711905795528544,0.05297397769516728,0.29296457512904545,0.6666666666666666,0.4117647058823529,0.14436829590701297,1.9217670357979348,0.9259550683742132,0.1470614785110945,0.6770786656959297,-0.40731810285158776,0.12411887903342933
G6,3.6416666666666666,5.095833333333333,0.07339524928136408,6.0,4.0,3.48047419804742,0.06724949562878278,0.31532949790804693,1.0,0.4708333333333333,0.14334005447754192,1.8509677388121004,0.9145048814504881,0.18963043903097102,0.6899098861449191,-0.3356871307591204,0.13555061446555342
G7,3.3688212927756656,5.425855513307985,0.047844171188775673,7.0,4.0,3.727338693292311,0.04566744730679157,0.2969094542877489,1.0,0.4144486692015209,0.19038482523691008,1.948910708688236,0.9317330856529185,0.1320515952362399,0.6694860241673208,-0.40485345105207104,0.11873620776161634
G8,3.3132075471698115,5.0754716981132075,0.0566347601119492,6.0,4.0,3.564093767867353,0.04681230494872938,0.30638936535169825,0.5,0.39245283018867927,0.1800418492731772,1.859966780769864,0.9155231560891939,0.15968849689244768,0.6992136771614912,-0.3652954634839335,0.12684307477035137
G9,3.6652719665271967,5.523012552301255,0.06474254841840661,7.0,4.0,3.4403853591645865,0.07824989482541019,0.3190166443147181,1.0,0.42677824267782427,0.24851717267496884,1.9019146965151132,0.9167047572166942,0.18075932109629386,0.7255250391928689,-0.33837761201595984,0.13359359908569113
G10,3.4803149606299213,6.094488188976378,0.0494224998139473,8.0,4.0,3.5265320095857584,0.062361786819991154,0.31150272470889845,1.0,0.4251968503937008,0.20804117739696085,1.9437049604479937,0.9211042295602377,0.15402739539936056,0.7007139715519204,-0.3831570306928468,0.12540173378079275
G11,3.2472324723247232,5.645756457564576,0.0699840935826296,7.0,4.0,3.6948749487494874,0.05322128851540616,0.29798837670925715,0.42857142857142855,0.41697416974169743,0.18273517408086637,1.9183514050279262,0.9186278529451961,0.16100113987720552,0.6834086538812165,-0.3902940047139969,0.1280738016072264
G12,3.395348837209302,5.093023255813954,0.0636351057257143,6.0,4.0,3.606732422405212,0.0639614855570839,0.30437868870599466,0.5277777777777778,0.4069767441860465,0.16823035904464412,1.8800967452943174,0.9146683558049046,0.16979102771149893,0.707517624267603,-0.3499811495783557,0.12862427013904737
G13,3.6131687242798356,5.62962962962963,0.08046036344051907,7.0,4.0,3.532904805632078,0.059293804130579615,0.3116359198851802,1.0,0.4691358024691358,0.15251209755108278,1.8641878996934755,0.8980376152093323,0.22074807614195546,0.6873430151765259,-0.3494763122462041,0.13917653430107702
G14,3.2977099236641223,5.125954198473282,0.055308580376832006,7.0,4.0,3.5114796291421717,0.04962002682163612,0.3100529100529566,1.0,0.40458015267175573,0.2537297970471969,1.8699693056223226,0.9071978005907988,0.17086856371085826,0.7037839602433156,-0.3524392345278219,0.1288204226570211
G15,3.536,5.196,0.07277018892954976,7.0,4.0,3.4713895582329317,0.05059920106524634,0.31493080895016023,0.42857142857142855,0.472,0.203859918587522,1.8639523769973214,0.9207068273092369,0.17421410826958436,0.6691765963607882,-0.362721082112922,0.13437816523270926
G16,3.5901639344262297,5.016393442622951,0.06045012987113501,6.0,3.0,3.5127841867368277,0.04941660947151681,0.31280554993375825,0.6666666666666666,0.44672131147540983,0.13828954104297064,1.8848261831434796,0.9175268164339203,0.17254127165436395,0.68009809545061,-0.35595825179988705,0.12998161159810973
G17,3.55,5.008333333333334,0.06961246870294614,6.0,3.0,3.5031380753138075,0.07548002648421982,0.3132955602046627,1.0,0.4166666666666667,0.17718242293647815,1.906026778806015,0.9127615062761506,0.18387670979032422,0.7240615002174738,-0.32431869828943116,0.13385635755274727
G18,3.6779661016949152,4.936440677966102,0.0649056608909507,6.0,3.0,3.4150018031013345,0.06332112858065905,0.32092318788326163,1.0,0.4449152542372881,0.17976994845681027,1.8886746877869391,0.9224305805986296,0.1717125576552728,0.7005713990459618,-0.3356111568385717,0.1335339704353314
G19,3.4085603112840466,5.817120622568093,0.06728688803257998,7.0,4.0,3.5974890564202333,0.05830508474576271,0.3055228888735402,1.0,0.4085603112840467,0.16181325680128755,1.904958061255605,0.9284107490272373,0.15201812597703457,0.6953424434636608,-0.39267642089288424,0.12846734868461315
G20,3.2830188679245285,4.992452830188679,0.03922348424818348,6.0,4.0,3.5902229845626072,0.043129860947442845,0.30408566800083403,0.3333333333333333,0.4226415094339623,0.2403876763160367,1.9096591192456738,0.9072327044025157,0.1584585886235662,0.682278422030038,-0.35971483229475276,0.12146439119622172
G21,3.4108527131782944,5.248062015503876,0.056428179504503594,6.0,4.0,3.596114982052906,0.057862491490810075,0.3052453774923136,0.3333333333333333,0.43410852713178294,0.22697821435437687,1.8860187227188812,0.9059511959701988,0.17915562460409695,0.6930780074321329,-0.3522967981835301,0.12777994933965028
G22,3.752136752136752,4.957264957264957,0.052298048084389,6.0,4.0,3.4676644290378196,0.04991911254911024,0.3171111355661917,1.0,0.5085470085470085,0.13305470263175279,1.8527897872636387,0.9013609185283005,0.20166441749668998,0.6620762845776473,-0.33260653248196403,0.13107489336861933
