Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colaboratividad Original,Colaboratividad 1,Colaboratividad 2,Colaboratividad 3
G0,3.3867595818815333,4.895470383275262,0.07412724089867781,6.0,4.0,3.4862698277332425,0.04448198198198198,0.3106677874970418,0.3888888888888889,0.3902439024390244,0.13647344903084402,1.8532887090502086,0.9214687751273117,0.17144217142602333,0.6992934306958557,-0.362048543014836,0.13331161384425894
G1,4.086206896551724,4.327586206896552,0.08113439201472358,5.0,3.0,3.233691595760561,0.09766022380467955,0.3362479474548974,1.0,0.4870689655172414,0.12124778535988298,1.8128761922137984,0.9025600835945663,0.24793560075918733,0.7390936467036731,-0.23757621512383398,0.14687560097498198
G2,3.5877862595419847,4.694656488549619,0.07129690216983274,5.0,3.0,3.447281448334357,0.06731488406881077,0.3162693886305661,1.0,0.3931297709923664,0.13425546956939566,1.8521489348707127,0.9161182767394929,0.18723963266761612,0.7289602488334471,-0.31952587395881527,0.13494234777045724
G3,3.5661764705882355,4.757352941176471,0.06954818147649927,6.0,3.0,3.393450184501845,0.0572378785226676,0.3200297554445984,1.0,0.46691176470588236,0.17404765289292135,1.844032925664546,0.9148306924245713,0.18796109378760825,0.6863964054020393,-0.3273621311002728,0.1357898241152189
G4,3.4388489208633093,4.823741007194244,0.06343567168713596,6.0,4.0,3.4466664935199853,0.05636628967530098,0.3146508064306598,1.0,0.38848920863309355,0.11469555350118366,1.848721691380277,0.9250188297015817,0.1601495056152831,0.7142630769386231,-0.34669375447556117,0.13063153800331453
G5,3.6704980842911876,4.781609195402299,0.05615010051171227,6.0,3.0,3.4188034188034186,0.0645879732739421,0.318586305138055,1.0,0.421455938697318,0.16757710164690365,1.8452048765166642,0.9244031830238727,0.16635853277332693,0.7102447175514017,-0.33209428922726014,0.12959038325896532
G6,3.2901023890784984,4.8668941979522184,0.06143191679684705,6.0,4.0,3.594370938332788,0.04949165547669288,0.30256089578758816,1.0,0.3856655290102389,0.11737699804370968,1.9050380625355097,0.9287250455841788,0.14645047548392093,0.694857263967072,-0.37120264859759755,0.12549173957643422
G7,3.624521072796935,4.9655172413793105,0.0744140878717321,6.0,4.0,3.469967580312408,0.07569721115537849,0.31461784065236614,1.0,0.421455938697318,0.16417457066672753,1.8666642797724964,0.9314470969643384,0.16710283498935527,0.7138635339769164,-0.3397431562677048,0.1335275771842806
G8,3.415492957746479,5.116197183098592,0.06536613109393175,6.0,3.0,3.4837754441845417,0.06512301013024602,0.31108760928348744,1.0,0.3732394366197183,0.21484434161953325,1.8512774919056925,0.9178818494002886,0.17213617001626227,0.7306499764037301,-0.34621355620816563,0.13100010427862385
G9,3.613382899628253,5.431226765799257,0.0952600967083721,7.0,4.0,3.4032070132608334,0.07677966101694915,0.3200913911589201,1.0,0.40148698884758366,0.17292758652288948,1.897332225835951,0.9098374299506187,0.2187264995056485,0.7412088427767682,-0.3288459123401156,0.1450919840179959
G10,3.7751937984496124,4.604651162790698,0.07466033920090964,5.0,3.0,3.3613247669894126,0.08738844923387776,0.3236554761258531,1.0,0.4496124031007752,0.1652754565583468,1.9089127572997249,0.9221488251440292,0.19041554781103642,0.7251633112373287,-0.29393318261258117,0.13773195223713747
G11,3.382456140350877,4.659649122807018,0.07721419622543232,5.0,3.0,3.4573511242895973,0.06258992805755395,0.3129577464788422,1.0,0.3929824561403509,0.15445596626890004,1.8417585573969686,0.9246108228317272,0.16830062693828604,0.7167510350503571,-0.33445471456039133,0.13471001840747504
G12,3.577358490566038,5.192452830188679,0.08438492526518879,6.0,3.0,3.425586049170955,0.07864554888039323,0.31744425385936303,0.6190476190476191,0.4,0.12279786800516564,1.8476023266380668,0.9190966266437964,0.19198379463716098,0.7365414894178581,-0.33041961460171454,0.13929748108204992
G13,3.562962962962963,5.770370370370371,0.045555776334499205,7.0,4.0,3.509513974941484,0.055232012023295134,0.3114645004360212,0.34615384615384615,0.4185185185185185,0.12069734734141037,1.885239524688297,0.9150764147046675,0.16894061902663898,0.6998990458477234,-0.37508080083328443,0.12490330274851011
G14,3.4234875444839856,4.601423487544484,0.06373012247681506,5.0,3.0,3.4498220640569395,0.0652995143011333,0.3136320115234422,1.0,0.3914590747330961,0.2006001133517044,1.9042332725130329,0.9209456024402644,0.16624812114080031,0.7227291872378954,-0.32469002402481495,0.13090109989658177
G15,3.337979094076655,5.114982578397212,0.06692671920175369,7.0,4.0,3.5876318803148073,0.05389221556886228,0.303950404995742,1.0,0.3902439024390244,0.16245003339072112,1.9169056127016026,0.9331887624570552,0.14551475318611112,0.6961262881165646,-0.37984205469899046,0.12728352974325777
G16,3.734375,4.5703125,0.11732093274423672,5.0,3.0,3.395955882352941,0.07550982913834282,0.32033854166668924,1.0,0.43359375,0.1550227032286838,1.8435221612585486,0.9053002450980392,0.25081457898144216,0.7264013732560124,-0.2906484554895883,0.15320816772812915
G17,3.4285714285714284,4.796428571428572,0.07268682699377303,6.0,3.0,3.4416026625704044,0.05618374558303887,0.31548429766170083,1.0,0.3821428571428571,0.1362360651348295,1.8567782086654114,0.9299283154121863,0.15881573327799087,0.7156324569672179,-0.3497718134928376,0.13341243980012946
G18,3.606060606060606,4.806818181818182,0.08595532651442109,6.0,3.0,3.4043956677036524,0.08179886685552408,0.319234646848726,1.0,0.38257575757575757,0.16395707147348448,1.8609732765567197,0.9258843184698698,0.1845202970869198,0.7468034756814363,-0.3168129797065181,0.1395608715179789
G19,3.802371541501976,4.8023715415019765,0.04441648016599188,6.0,3.0,3.407491059664973,0.0661311414160284,0.31995315473579483,1.0,0.4031620553359684,0.13578566202827003,1.8466526947104156,0.9130434782608695,0.18296690703591936,0.7279815293534042,-0.3187287294341492,0.12763699707596238
G20,3.498181818181818,5.072727272727272,0.08479697275227917,6.0,4.0,3.4636496350364965,0.05957683741648107,0.3137951780579556,1.0,0.4509090909090909,0.17842527609085318,1.8613992285328895,0.9156469807564698,0.19412310060367677,0.6900939796416563,-0.34514234879457795,0.1386820901307141
G21,3.6846153846153844,4.85,0.08882558724197526,6.0,4.0,3.4434808434808435,0.0857449088960343,0.31691070191073295,1.0,0.4269230769230769,0.15690139321430463,1.8400653131178601,0.9161568161568162,0.2066002847800641,0.7311156642668206,-0.3073156383397396,0.14099375873549028
G22,3.4944237918215615,5.130111524163569,0.07575427035131008,6.0,4.0,3.454585807024358,0.06362246847535345,0.3143941075292824,1.0,0.4312267657992565,0.1677541179464772,1.8486678503544636,0.924818287743439,0.17254296152582319,0.6999940492332881,-0.35187417550691913,0.13467670996558556
G23,3.5220588235294117,5.775735294117647,0.07735231268459504,7.0,4.0,3.475119383546777,0.05654933641084824,0.31355158299483527,0.4666666666666667,0.4411764705882353,0.11821112199976583,1.8877297431702218,0.898171261124376,0.21856898236160505,0.7004270535493778,-0.35493221313817047,0.138757051783997
G24,3.5220588235294117,4.676470588235294,0.05586022358074001,5.0,3.0,3.423485999565878,0.06938267212239815,0.3168285579914513,1.0,0.39705882352941174,0.16053356850356698,1.850212989419748,0.9223464293466465,0.1627468819643831,0.7265086036758205,-0.3222987212453756,0.1291645851392773
G25,3.588014981273408,4.737827715355805,0.061218367748378646,6.0,3.0,3.4446227929373996,0.07275320970042796,0.31602273473947445,1.0,0.41947565543071164,0.17540158172376127,1.832477812721793,0.9047055841851821,0.19931551170364645,0.7266853246319556,-0.3048624460693903,0.1331602611733383
G26,3.529850746268657,4.753731343283582,0.05041111532391168,6.0,3.0,3.422578120632791,0.06824538504568338,0.3165944621461934,1.0,0.40298507462686567,0.18735768180636952,1.8459338927545212,0.9330594219911678,0.1413853410913851,0.7168175988828601,-0.33785850729536626,0.12600713801039226
G27,3.5054545454545454,5.007272727272727,0.0929908404820687,6.0,3.0,3.4820172528201727,0.088659793814433,0.31356292855566287,1.0,0.39636363636363636,0.12096218926040929,1.8888225767860078,0.9239548772395487,0.18723949018691222,0.7420634655685032,-0.32202264143444914,0.140251556731705
G28,3.3472222222222223,5.003472222222222,0.04485677349211518,6.0,4.0,3.533052651955091,0.04284082254379284,0.30720334881920397,0.4,0.3958333333333333,0.15779738840622712,1.866092501013044,0.9257646147890051,0.14173993133975182,0.6892451973018275,-0.37585923593121295,0.1218653948477692
G29,3.5407407407407407,5.185185185185185,0.07671892271243198,6.0,4.0,3.4946991601266695,0.06018168054504164,0.3121923906558679,1.0,0.43333333333333335,0.1471450558917136,1.8401249391622472,0.9138923309927027,0.19307852629110117,0.6987612390378916,-0.3486611169346503,0.1356982139586472
G30,3.2852233676975944,4.934707903780069,0.05874754753470961,6.0,3.0,3.5142789430027253,0.05610072208850213,0.30825808745110694,1.0,0.3642611683848797,0.20166924409250545,1.9120839654192814,0.9270055693802584,0.14745411522343022,0.71872544065704,-0.36000052028633167,0.12669829918200065
G31,3.5481481481481483,5.133333333333334,0.07021773405869722,6.0,3.0,3.5093212171279085,0.06784492588369441,0.31094497223372525,0.6666666666666666,0.3925925925925926,0.13736542184046932,1.856067739378232,0.9008123365000689,0.21038462157060014,0.7320874335710889,-0.3272172435774544,0.1350805622391199
G32,3.590909090909091,4.681818181818182,0.06639634123783,5.0,3.0,3.4389042516418944,0.06570542069720751,0.3165706494604064,0.6666666666666666,0.39015151515151514,0.12894441083063246,1.8513095581381236,0.9124035027076852,0.19109065362976924,0.7309985612280139,-0.3165351995403626,0.13392684629125873
G33,3.675675675675676,4.625482625482626,0.06880308204259673,5.0,3.0,3.4037891712310318,0.08523037698051357,0.3192895553360846,1.0,0.444015444015444,0.1609409295519798,1.8549557637385725,0.9217622938553172,0.18073844002595804,0.7216310633812176,-0.3010487054452299,0.1343733526685401
G34,3.5073529411764706,4.775735294117647,0.0709649433053978,6.0,4.0,3.3843878879965272,0.07685604740327641,0.3198294262354112,1.0,0.4117647058823529,0.14814818078475914,1.8452861324054208,0.9204200130236596,0.17717615107738954,0.7305931141856813,-0.31434269950814364,0.13544637875008925
