Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colaboratividad Original,Colaboratividad 1,Colaboratividad 2
G27,3.4444444444444446,5.277777777777778,0.05535861258189901,6.0,4.0,3.5204871428047393,0.054189663823381834,0.3120452905861641,1.0,0.4444444444444444,0.14794339172634588,1.9162095145859224,0.9183082058618539,0.8604982837214966,0.6848586292563968,-0.36259956724178166
G28,3.325,5.383333333333334,0.05918646962099984,6.0,4.0,3.6054044630404465,0.04988308651597818,0.3054160855417196,0.3333333333333333,0.4125,0.1534759125935161,1.9186933694211998,0.9179916317991632,0.8220649459406122,0.6900533561581164,-0.37693394580957684
G29,3.452991452991453,4.987179487179487,0.06680112846191036,6.0,4.0,3.4451780932467626,0.05387931034482758,0.3179181492487347,0.7,0.4358974358974359,0.14245026448956652,1.8742802776538317,0.9209860239903158,0.8662688524876826,0.6933557296496864,-0.34867442557927286
G30,3.4869565217391303,4.8826086956521735,0.05813709998922181,6.0,4.0,3.4147712170115816,0.05148095909732017,0.32012973862425353,1.0,0.43043478260869567,0.16142679890257927,1.8886529339080673,0.907499525346497,0.879198032127285,0.7026435437439775,-0.331080279094202
G31,3.449781659388646,5.462882096069869,0.0554141597767398,7.0,4.0,3.5134451850149393,0.061764705882352944,0.31397133663864923,1.0,0.3799126637554585,0.1952510084259019,1.9465501264979879,0.90266605378074,0.867509921794882,0.7344466837529029,-0.3438764541054613
G32,3.7904761904761903,4.914285714285715,0.07689193557651146,6.0,4.0,3.3581681476418317,0.07808802650260294,0.32745120376709264,0.5,0.46190476190476193,0.13670744754071756,1.8473698668382765,0.9225336067441331,0.9816115064361896,0.7133200459452481,-0.3135060043814143
G33,3.3891213389121337,5.129707112970712,0.0785917661186806,6.0,4.0,3.487816884075806,0.054259876249405044,0.3139897800125227,1.0,0.41422594142259417,0.1325633334268565,1.8802191800587085,0.9307689603037868,0.8456480482423426,0.6957522053987373,-0.36757640028981986
G34,3.452991452991453,5.316239316239316,0.0670406245107865,6.0,4.0,3.4162356479953044,0.050220878865380146,0.3203018964822509,0.3484848484848485,0.4230769230769231,0.12963338093360954,1.906191852765322,0.9085506767910201,0.8704938002370732,0.7047089754136594,-0.34992500755271383
G35,3.4334763948497855,5.3004291845493565,0.05918383657705027,6.0,3.0,3.483609590054758,0.06439942112879884,0.3146927877264079,1.0,0.3905579399141631,0.13189248124798647,1.8888776400334664,0.9302205120615658,0.8541465731217567,0.7187029828673425,-0.3624643355950229
G36,3.2816326530612243,5.183673469387755,0.04107894207472254,6.0,4.0,3.596554031448645,0.03514709711012757,0.30489907438396013,1.0,0.4,0.12091547517787063,1.877696619743289,0.9201070592171294,0.8008681786396057,0.6799926418855229,-0.38714750189627
G37,3.5714285714285716,4.9375,0.08018912241203204,6.0,4.0,3.3482142857142856,0.06326767091541136,0.32566730728177123,0.7,0.42410714285714285,0.12293380091216984,1.8256640495101804,0.9178411274823831,0.9112588554527402,0.7179608430274197,-0.3263745037155803
G38,3.4188034188034186,5.1923076923076925,0.052822383359847416,6.0,4.0,3.5406991673086092,0.03645569620253165,0.310678258317858,1.0,0.41452991452991456,0.1349318698784594,1.8749767580610361,0.9308902828216133,0.8469118397805508,0.6744238558446258,-0.39116373570863117
G39,3.3666666666666667,4.983333333333333,0.030123004654469186,6.0,4.0,3.5563807531380753,0.04399494310998736,0.30880695025581567,1.0,0.425,0.1655341536368713,1.8701019767845684,0.923186889818689,0.8245342605008158,0.6787084484564585,-0.3697161001318158
G40,3.584070796460177,5.092920353982301,0.07099691840698147,7.0,4.0,3.424778761061947,0.0473344489600765,0.3206648873906635,0.4,0.4823008849557522,0.1299317376094178,1.8609012166286187,0.8856243854473943,0.9231477764732547,0.6840367011491666,-0.32127404996546405
G41,3.4869565217391303,5.452173913043478,0.04795805100542118,7.0,4.0,3.530017087526106,0.06057692307692308,0.3130209661234246,0.42857142857142855,0.4260869565217391,0.130755283548308,1.9096364797875574,0.8978925384469337,0.8790073447658725,0.7116081417160114,-0.34088157109666584
G42,3.5594713656387666,5.462555066079295,0.0900751296208882,7.0,4.0,3.4521461151612023,0.06334519572953737,0.3193123446409121,0.4666666666666667,0.46255506607929514,0.12478309236047201,1.899732470626481,0.9013683677049628,0.9160593758515642,0.7006958234783206,-0.33564631120548094
G43,3.6818181818181817,5.027272727272727,0.09107184865297115,6.0,4.0,3.419344126193441,0.06679298910468973,0.3215026982151363,0.5,0.4727272727272727,0.13777606349453533,1.890547652014547,0.8938148609381487,0.9596917231776682,0.7050246204871153,-0.30660416457673134
G44,3.7714285714285714,5.0476190476190474,0.07870908763136135,6.0,4.0,3.4916837548416497,0.08798076923076924,0.31760082023250513,1.0,0.4380952380952381,0.1448993578324889,1.8917365222790892,0.894235588972431,0.9853006900291672,0.7394161759294398,-0.2905407919619868
G45,3.827751196172249,5.502392344497608,0.07597359954831417,7.0,4.0,3.397267206477733,0.08849162011173184,0.32627000192798516,0.6666666666666666,0.4449760765550239,0.11890614667841057,1.922242607816614,0.9216047110783953,0.9940400282140559,0.7314712282230074,-0.3251039586038956
G46,3.6053811659192827,5.2825112107623315,0.08365229952757802,7.0,4.0,3.3867006019472385,0.07089377632194666,0.32347228714952997,0.6666666666666666,0.4304932735426009,0.1390035305792071,1.8894188873374846,0.9090615278956086,0.9266573125170842,0.724588662752372,-0.32539155950053267
G47,3.6199095022624435,4.950226244343892,0.0868252136211168,6.0,4.0,3.4317153434800494,0.0778852962001416,0.3208213355273422,1.0,0.4479638009049774,0.13529985148035048,1.9075909196554774,0.916248457424928,0.9301620861528774,0.7166005025625312,-0.31553085677605475
G48,3.584070796460177,5.097345132743363,0.0720073053963083,6.0,4.0,3.461160275319567,0.08594270486342438,0.3188338249755571,0.6666666666666666,0.41150442477876104,0.14349828188640126,1.891286122867721,0.9139429695181908,0.9140450441127649,0.7420528326905057,-0.3129858841236537
G49,3.712962962962963,5.527777777777778,0.0613040168512903,7.0,4.0,3.4919896640826873,0.08628005657708628,0.3172150445019639,0.6666666666666666,0.4444444444444444,0.12731110771320012,1.8908097834106266,0.9021963824289405,0.9573568657951043,0.7301746876423577,-0.317796758736825
