Name,Degree,Excentricidad,Clustering,Diámetro,Radio,Camino más corto promedio,Transitividad,Eficiencia Global,Rich Club Coefficient,Core Ratio,Central Point Dominance,Spectral radius,Modularidad,Colaboratividad Original,Colaboratividad 1,Colaboratividad 2,Colaboratividad 3
G0,3.3217391304347825,4.556521739130435,0.08959179625864824,5.0,3.0,3.2508009153318076,0.10478654592496765,0.3441927281973019,1.0,0.41739130434782606,0.2988991639625639,1.890999973667524,0.8797864225781846,0.2299949226860164,0.8003904106592642,-0.21134149960095328,0.15633996233852218
G1,3.580952380952381,4.6,0.06960288388859817,6.0,3.0,3.1983516483516485,0.09208731241473397,0.3527564102564243,1.0,0.47619047619047616,0.16440305831528226,1.8438521094979277,0.9075091575091575,0.18836151988451638,0.7529939058213413,-0.24527413049017321,0.14777290769208432
G2,3.5925925925925926,5.4907407407407405,0.11241580102447549,7.0,4.0,3.2447213568708895,0.12785114045618248,0.35229936211245555,1.0,0.48148148148148145,0.2977939172752169,1.954044936301297,0.8940809968847352,0.2429076113860247,0.7923692633855296,-0.23180570510867726,0.1640473503364529
G3,3.4054054054054053,5.387387387387387,0.10450167080601863,7.0,4.0,3.479115479115479,0.09156976744186046,0.33190242190241837,1.0,0.46846846846846846,0.2428272786370501,1.9550617131790808,0.885012285012285,0.2372530883213157,0.746731812603902,-0.2759213665710163,0.1562250855162175
G4,3.189655172413793,5.767241379310345,0.09150380383646102,8.0,4.0,3.432233883058471,0.1040943789035392,0.33316573855929105,1.0,0.4482758620689655,0.283879653497801,1.9142739343005033,0.8869565217391304,0.20999611119473965,0.7696439255587824,-0.2763032802105304,0.15195667865791396
G5,3.5145631067961167,4.737864077669903,0.0752156593961277,6.0,4.0,3.1958880639634493,0.07627118644067797,0.35262707024558226,0.3333333333333333,0.5145631067961165,0.15844617682032192,1.8561078005674092,0.8589377498572245,0.26332361183301617,0.7421478283595897,-0.2189739194004724,0.1587140558299631
G6,3.135593220338983,4.983050847457627,0.09752825329096516,6.0,3.0,3.410835868462987,0.08272859216255443,0.3308996088657001,0.7,0.4491525423728814,0.4034582008176836,1.8941978958397192,0.9067072287411271,0.1827531387149638,0.7356983154712504,-0.29239875560402906,0.149916567228705
G7,3.3513513513513513,4.4774774774774775,0.06685853265137152,5.0,3.0,3.2073710073710076,0.08384458077709611,0.34797706797707834,1.0,0.40540540540540543,0.25919775157562674,1.870294247792641,0.866994266994267,0.23486957468333775,0.7956218125543382,-0.21183257799864386,0.15261793658940578
G8,3.3451327433628317,4.8584070796460175,0.08359186507286455,6.0,3.0,3.3244310998735775,0.0930546190155091,0.3400942899283581,1.0,0.46017699115044247,0.19623801341754105,1.9057182057163327,0.8952275600505689,0.20374746501587715,0.7554466333433615,-0.2562498715074303,0.1501759373463607
G9,3.3394495412844036,4.568807339449541,0.08172377812648213,5.0,3.0,3.302922188243289,0.10112359550561797,0.34196681390871186,1.0,0.42201834862385323,0.2213661318210056,1.8688709236648593,0.8960244648318043,0.19902312785186704,0.7840690026865009,-0.23405855340944237,0.15004303576951467
